BCH,Time,Timestamp,BTC,DASH,ETH,LTC,XRP
0.0,2012-12-11-01-00-00,1355184000,10.56,0.0,0.0,0.0,0.0
0.0,2012-12-12-01-00-00,1355270400,10.53,0.0,0.0,0.0,0.0
0.0,2012-12-13-01-00-00,1355356800,10.54,0.0,0.0,0.0,0.0
0.0,2012-12-14-01-00-00,1355443200,10.54,0.0,0.0,0.0,0.0
0.0,2012-12-15-01-00-00,1355529600,10.4,0.0,0.0,0.0,0.0
0.0,2012-12-16-01-00-00,1355616000,10.23,0.0,0.0,0.0,0.0
0.0,2012-12-17-01-00-00,1355702400,10.3,0.0,0.0,0.0,0.0
0.0,2012-12-18-01-00-00,1355788800,10.27,0.0,0.0,0.0,0.0
0.0,2012-12-19-01-00-00,1355875200,10.32,0.0,0.0,0.0,0.0
0.0,2012-12-20-01-00-00,1355961600,10.4,0.0,0.0,0.0,0.0
0.0,2012-12-21-01-00-00,1356048000,10.25,0.0,0.0,0.0,0.0
0.0,2012-12-22-01-00-00,1356134400,10.29,0.0,0.0,0.0,0.0
0.0,2012-12-23-01-00-00,1356220800,10.15,0.0,0.0,0.0,0.0
0.0,2012-12-24-01-00-00,1356307200,10.2,0.0,0.0,0.0,0.0
0.0,2012-12-25-01-00-00,1356393600,10.3,0.0,0.0,0.0,0.0
0.0,2012-12-26-01-00-00,1356480000,10.29,0.0,0.0,0.0,0.0
0.0,2012-12-27-01-00-00,1356566400,10.28,0.0,0.0,0.0,0.0
0.0,2012-12-28-01-00-00,1356652800,10.15,0.0,0.0,0.0,0.0
0.0,2012-12-29-01-00-00,1356739200,10.1,0.0,0.0,0.0,0.0
0.0,2012-12-30-01-00-00,1356825600,10.14,0.0,0.0,0.0,0.0
0.0,2012-12-31-01-00-00,1356912000,10.23,0.0,0.0,0.0,0.0
0.0,2013-01-01-01-00-00,1356998400,10.17,0.0,0.0,0.0,0.0
0.0,2013-01-02-01-00-00,1357084800,10.23,0.0,0.0,0.0,0.0
0.0,2013-01-03-01-00-00,1357171200,10.2,0.0,0.0,0.0,0.0
0.0,2013-01-04-01-00-00,1357257600,10.2,0.0,0.0,0.0,0.0
0.0,2013-01-05-01-00-00,1357344000,10.2,0.0,0.0,0.0,0.0
0.0,2013-01-06-01-00-00,1357430400,10.21,0.0,0.0,0.0,0.0
0.0,2013-01-07-01-00-00,1357516800,10.34,0.0,0.0,0.0,0.0
0.0,2013-01-08-01-00-00,1357603200,10.71,0.0,0.0,0.0,0.0
0.0,2013-01-09-01-00-00,1357689600,10.74,0.0,0.0,0.0,0.0
0.0,2013-01-10-01-00-00,1357776000,10.8,0.0,0.0,0.0,0.0
0.0,2013-01-11-01-00-00,1357862400,11.0,0.0,0.0,0.0,0.0
0.0,2013-01-12-01-00-00,1357948800,10.79,0.0,0.0,0.0,0.0
0.0,2013-01-13-01-00-00,1358035200,10.75,0.0,0.0,0.0,0.0
0.0,2013-01-14-01-00-00,1358121600,10.8,0.0,0.0,0.0,0.0
0.0,2013-01-15-01-00-00,1358208000,10.82,0.0,0.0,0.0,0.0
0.0,2013-01-16-01-00-00,1358294400,11.17,0.0,0.0,0.0,0.0
0.0,2013-01-17-01-00-00,1358380800,11.7,0.0,0.0,0.0,0.0
0.0,2013-01-18-01-00-00,1358467200,11.73,0.0,0.0,0.0,0.0
0.0,2013-01-19-01-00-00,1358553600,11.71,0.0,0.0,0.0,0.0
0.0,2013-01-20-01-00-00,1358640000,11.83,0.0,0.0,0.0,0.0
0.0,2013-01-21-01-00-00,1358726400,12.71,0.0,0.0,0.0,0.0
0.0,2013-01-22-01-00-00,1358812800,13.12,0.0,0.0,0.0,0.0
0.0,2013-01-23-01-00-00,1358899200,13.32,0.0,0.0,0.0,0.0
0.0,2013-01-24-01-00-00,1358985600,12.75,0.0,0.0,0.0,0.0
0.0,2013-01-25-01-00-00,1359072000,12.99,0.0,0.0,0.0,0.0
0.0,2013-01-26-01-00-00,1359158400,13.05,0.0,0.0,0.0,0.0
0.0,2013-01-27-01-00-00,1359244800,13.2,0.0,0.0,0.0,0.0
0.0,2013-01-28-01-00-00,1359331200,13.79,0.0,0.0,0.0,0.0
0.0,2013-01-29-01-00-00,1359417600,14.56,0.0,0.0,0.0,0.0
0.0,2013-01-30-01-00-00,1359504000,14.75,0.0,0.0,0.0,0.0
0.0,2013-01-31-01-00-00,1359590400,15.35,0.0,0.0,0.0,0.0
0.0,2013-02-01-01-00-00,1359676800,15.1,0.0,0.0,0.0,0.0
0.0,2013-02-02-01-00-00,1359763200,14.37,0.0,0.0,0.0,0.0
0.0,2013-02-03-01-00-00,1359849600,14.76,0.0,0.0,0.0,0.0
0.0,2013-02-04-01-00-00,1359936000,15.02,0.0,0.0,0.0,0.0
0.0,2013-02-05-01-00-00,1360022400,15.2,0.0,0.0,0.0,0.0
0.0,2013-02-06-01-00-00,1360108800,15.84,0.0,0.0,0.0,0.0
0.0,2013-02-07-01-00-00,1360195200,16.26,0.0,0.0,0.0,0.0
0.0,2013-02-08-01-00-00,1360281600,16.85,0.0,0.0,0.0,0.0
0.0,2013-02-09-01-00-00,1360368000,17.44,0.0,0.0,0.0,0.0
0.0,2013-02-10-01-00-00,1360454400,17.47,0.0,0.0,0.0,0.0
0.0,2013-02-11-01-00-00,1360540800,18.0,0.0,0.0,0.0,0.0
0.0,2013-02-12-01-00-00,1360627200,18.71,0.0,0.0,0.0,0.0
0.0,2013-02-13-01-00-00,1360713600,18.43,0.0,0.0,0.0,0.0
0.0,2013-02-14-01-00-00,1360800000,20.12,0.0,0.0,0.0,0.0
0.0,2013-02-15-01-00-00,1360886400,20.2,0.0,0.0,0.0,0.0
0.0,2013-02-16-01-00-00,1360972800,20.44,0.0,0.0,0.0,0.0
0.0,2013-02-17-01-00-00,1361059200,20.18,0.0,0.0,0.0,0.0
0.0,2013-02-18-01-00-00,1361145600,20.34,0.0,0.0,0.0,0.0
0.0,2013-02-19-01-00-00,1361232000,22.26,0.0,0.0,0.0,0.0
0.0,2013-02-20-01-00-00,1361318400,22.5,0.0,0.0,0.0,0.0
0.0,2013-02-21-01-00-00,1361404800,22.51,0.0,0.0,0.0,0.0
0.0,2013-02-22-01-00-00,1361491200,23.0,0.0,0.0,0.0,0.0
0.0,2013-02-23-01-00-00,1361577600,22.68,0.0,0.0,0.0,0.0
0.0,2013-02-24-01-00-00,1361664000,22.66,0.0,0.0,0.0,0.0
0.0,2013-02-25-01-00-00,1361750400,23.21,0.0,0.0,0.0,0.0
0.0,2013-02-26-01-00-00,1361836800,24.0,0.0,0.0,0.0,0.0
0.0,2013-02-27-01-00-00,1361923200,23.5,0.0,0.0,0.0,0.0
0.0,2013-02-28-01-00-00,1362009600,25.64,0.0,0.0,0.0,0.0
0.0,2013-03-01-01-00-00,1362096000,26.7,0.0,0.0,0.0,0.0
0.0,2013-03-02-01-00-00,1362182400,26.97,0.0,0.0,0.0,0.0
0.0,2013-03-03-01-00-00,1362268800,26.9,0.0,0.0,0.0,0.0
0.0,2013-03-04-01-00-00,1362355200,28.23,0.0,0.0,0.0,0.0
0.0,2013-03-05-01-00-00,1362441600,31.47,0.0,0.0,0.0,0.0
0.0,2013-03-06-01-00-00,1362528000,32.31,0.0,0.0,0.0,0.0
0.0,2013-03-07-01-00-00,1362614400,31.57,0.0,0.0,0.0,0.0
0.0,2013-03-08-01-00-00,1362700800,33.59,0.0,0.0,0.0,0.0
0.0,2013-03-09-01-00-00,1362787200,35.8,0.0,0.0,0.0,0.0
0.0,2013-03-10-01-00-00,1362873600,35.7,0.0,0.0,0.0,0.0
0.0,2013-03-11-01-00-00,1362960000,37.15,0.0,0.0,0.0,0.0
0.0,2013-03-12-01-00-00,1363046400,33.18,0.0,0.0,0.0,0.0
0.0,2013-03-13-01-00-00,1363132800,36.42,0.0,0.0,0.0,0.0
0.0,2013-03-14-01-00-00,1363219200,36.52,0.0,0.0,0.0,0.0
0.0,2013-03-15-01-00-00,1363305600,36.4,0.0,0.0,0.0,0.0
0.0,2013-03-16-01-00-00,1363392000,36.5,0.0,0.0,0.0,0.0
0.0,2013-03-17-01-00-00,1363478400,36.65,0.0,0.0,0.0,0.0
0.0,2013-03-18-01-00-00,1363564800,39.5,0.0,0.0,0.0,0.0
0.0,2013-03-19-01-00-00,1363651200,46.0,0.0,0.0,0.0,0.0
0.0,2013-03-20-01-00-00,1363737600,49.82,0.0,0.0,0.0,0.0
0.0,2013-03-21-01-00-00,1363824000,56.0,0.0,0.0,0.0,0.0
0.0,2013-03-22-01-00-00,1363910400,53.97,0.0,0.0,0.0,0.0
0.0,2013-03-23-01-00-00,1363996800,49.65,0.0,0.0,0.0,0.0
